TABLE 3.  IMMIGRANTS ADMITTED BY COUNTRY AND REGION OF BIRTH,,,,,,,,,,,,
FISCAL YEARS 1989-99,,,,,,,,,,,,
,,,,,,,,,,,,
Uruguay, 948 ," 1,457 "," 1,161 ", 716 , 568 , 516 , 414 , 540 , 429 ,368,271,
Venezuela," 2,099 "," 3,142 "," 2,622 "," 2,340 "," 2,743 "," 2,427 "," 2,627 "," 3,468 "," 3,328 ","3,136","2,508",
Born on ship/plane, - , - , - , 2 , - , - , - , - , - ,-,-,
Unknown or not reported, 34 , 49 , 70 , 18 , 5 , 4 , 2 , 5 , 197 ,977,"1,159",
,,,,,,,,,,,,
1  Data for fiscal year 1998 have been revised due to changes in the counts for asylees and,,,,,,,,,,,,
"cancellation of removal.  The previously reported total was 660,477.",,,,,,,,,,,,
"2  Prior to 1993, data include independent republics; beginning in 1993, data are for unknown republic only.  ",,,,,,,,,,,,
"3  Prior to 1992, data include independent republics; beginning in 1992, data are for unknown republic only.",,,,,,,,,,,,
4  In May 1997 Zaire was formally recognized as the Democratic Republic of the Congo;,,,,,,,,,,,,
"the Congo is referred to by its conventional name, the Republic of the Congo.",,,,,,,,,,,,
5  In August 1997 Western Samoa was formally recognized as Samoa (Independent State).,,,,,,,,,,,,
-  Represents zero.     X  Not applicable.,,,,,,,,,,,,
